DATE,"ENER_RUC_FRST5,16","ENER_RUC_FRST6,16","ENER_RUC_FRST7,16","ENER_RUC_FRST8,16","ENER_RUC_CHST5,16","ENER_RUC_CHST6,16","ENER_RUC_CHST7,16","ENER_RUC_CHST8,16","ENER_RUC_REF,16"
170813230000138,41688,18873,15257,15411,21744,27834,36627,39691,2676
170814230000731,41689,18874,15258,15411,21744,27834,36627,39691,2677
170815230000348,41691,18874,15258,15411,21744,27834,36627,39691,2678
170816230000950,41697,18880,15263,15416,21744,27834,36627,39691,2679
170817230000576,41701,18885,15268,15419,21744,27834,36627,39691,2681
170818230000170,41706,18889,15272,15422,21744,27834,36627,39691,2682
170819230000736,41708,18890,15272,15422,21744,27834,36627,39691,2683
170820230000333,41710,18891,15272,15422,21744,27834,36627,39691,2685
170821230000960,41715,18896,15277,15426,21744,27834,36627,39691,2686
170822230000634,41721,18902,15284,15430,21744,27834,36627,39691,2687
170823230000288,41728,18908,15290,15435,21744,27834,36627,39691,2689
170824230000911,41733,18914,15295,15439,21744,27834,36627,39691,2690
170825230000586,41737,18919,15299,15442,21744,27834,36627,39691,2692
170826230000229,41740,18920,15299,15442,21744,27834,36627,39691,2693
170827230000905,41742,18921,15300,15442,21744,27834,36627,39691,2695
170828230000566,41750,18928,15308,15448,21744,27834,36627,39691,2696
170829230000247,41757,18935,15316,15455,21744,27834,36627,39691,2698
170830230000913,41764,18942,15322,15459,21744,27834,36627,39691,2699
170831230000587,41768,18947,15326,15462,21744,27834,36627,39691,2701
171218230000302,42086,19097,15416,15552,22060,28211,37110,40148,2714
171219230000359,42089,19097,15416,15553,22069,28222,37126,40158,2714
171220230000994,42092,19098,15416,15554,22075,28232,37139,40166,2714
171221230000997,42095,19099,15416,15554,22081,28239,37150,40173,2714
171222230000989,42098,19101,15416,15555,22087,28247,37160,40180,2714
171223230000985,42100,19101,15416,15555,22088,28249,37164,40185,2714
171224230000983,42102,19101,15416,15555,22090,28252,37168,40190,2714
171225230001000,42104,19102,15416,15555,22092,28255,37173,40196,2714
171226230000981,42106,19102,15416,15555,22095,28258,37177,40202,2714
171227230000983,42108,19102,15416,15555,22096,28261,37182,40207,2714
171228230000995,42110,19102,15416,15555,22098,28264,37186,40211,2714
171229230000995,42112,19103,15416,15555,22100,28267,37191,40215,2714
171230230000982,42114,19103,15416,15555,22101,28269,37194,40218,2714
171231230001000,42116,19103,15416,15555,22103,28272,37198,40221,2714
170601230000399,41262,18552,14905,15177,21744,27834,36627,39691,2564
170602230001000,41271,18559,14913,15183,21744,27834,36627,39691,2565
170603230000535,41273,18560,14914,15183,21744,27834,36627,39691,2567
170604230000098,41275,18561,14915,15184,21744,27834,36627,39691,2568
170605230000655,41277,18562,14916,15185,21744,27834,36627,39691,2569
170606230000196,41282,18566,14920,15187,21744,27834,36627,39691,2571
170607230000606,41287,18570,14924,15189,21744,27834,36627,39691,2572
170608230000182,41292,18575,14929,15193,21744,27834,36627,39691,2573
170609230000748,41297,18580,14935,15196,21744,27834,36627,39691,2575
170610230000327,41300,18581,14936,15197,21744,27834,36627,39691,2576
170611230000951,41302,18582,14938,15198,21744,27834,36627,39691,2577
180201230001000,42201,19138,15437,15579,22275,28504,37497,40496,2715
